artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Lights & Motion,Overture,0.976,0.355,0.074,0.928,0.0892,-17.67,0.0317,77.003,0.0605
Massive Attack,Bullet Boy (Vox) - 2006 Digital Remaster,0.552,0.556,0.445,0.755,0.106,-8.702,0.027,120.071,0.0605
Manchester Orchestra,I Can Feel a Hot One,0.485,0.552,0.299,0,0.113,-11.372,0.0315,124.273,0.0608
for KING & COUNTRY,"Fight On, Fighter",0.253,0.677,0.486,0.688,0.0912,-7.947,0.0305,108.042,0.061
Jackal,Little Threads (feat. Foy),0.0746,0.467,0.706,0,0.102,-5.661,0.0477,161.888,0.0616
Liquid Stranger,"Dive (feat. Jahdan Blakkamoore, Messinian, Ohm Daddy)",0.0144,0.478,0.685,0,0.11,-6.975,0.0609,73.833,0.0626
Justice,Phantom Part 2 - Live Version,0.0265,0.441,0.994,0.872,0.978,-3.131,0.303,130.019,0.0632
The Neighbourhood,Honest,0.0085,0.578,0.37,0.0094,0.131,-13.379,0.0506,96.243,0.0635
Andy Stott,New Romantic,0.0512,0.706,0.625,0.687,0.0816,-9.941,0.0355,99.979,0.0635
Brennan Savage,Reflection,0.223,0.45,0.332,0.0145,0.113,-11.524,0.0355,59.957,0.0636
Pearl Jam,Release,0.446,0.241,0.34,0.0641,0.0994,-11.919,0.0446,80.979,0.064
What So Not,Gemini (Ekali Remix) - Ekali Remix,0.0699,0.46,0.413,0.0688,0.102,-10.316,0.057,142.184,0.0642
Hekler,Mirrors,0.0019,0.551,0.94,0.691,0.301,-3.972,0.214,169.997,0.0642
Ghastly,Get On This,0.0003,0.659,0.893,0.752,0.242,-3.9,0.053,128.097,0.0643
Red,Pieces,0.344,0.283,0.354,0.0002,0.0758,-11.552,0.0288,93.02,0.0644
XXXTENTACION,Touch Eem Body,0.574,0.726,0.419,0,0.381,-11.895,0.25,129.786,0.0644
Machine Gun Kelly,D3MONS,0.0591,0.434,0.659,0,0.281,-7.114,0.24,78.434,0.0647
Rittz,I'm Only Human,0.214,0.758,0.685,0.0002,0.0739,-5.818,0.0446,116.991,0.065
Riot Ten,Till We Die (feat. Milano The Don),0.0011,0.503,0.957,0.727,0.233,-4.039,0.0867,145.042,0.0653
The Album Leaf,Ambo,0.892,0.499,0.2,0.912,0.0528,-15.057,0.0398,100.072,0.0658
Huncho Jack,Saint,0.0082,0.857,0.642,0,0.106,-3.656,0.0588,150.06,0.0658
The Script,Flares,0.408,0.292,0.351,0,0.055,-9.883,0.0351,164.252,0.0658
Zero 7,Morning Song,0.254,0.305,0.487,0.239,0.0894,-10.579,0.0292,98.944,0.0663
Ghastly,Lemme See U,0.0016,0.481,0.895,0.0387,0.175,-4.295,0.0517,128.059,0.0663
Skee Mask,Vli,0.53,0.431,0.314,0.833,0.114,-18.958,0.0625,140.489,0.0666
Datsik,Glock Burst,0.0003,0.66,0.976,0.804,0.0786,-2.307,0.102,172.109,0.0667
Ray Volpe,Rescue Me,0.0001,0.632,0.883,0.415,0.373,-5.107,0.0408,119.992,0.0669
Mike Cervello,The Crown,0.0002,0.679,0.904,0.44,0.0969,-4.53,0.0355,130.013,0.0672
